P1A1,P1A2,P1A3,P1A4,P1A5,P1A6,P2A1,P2A2,P2A3,P2A4,P2A5,P2A6
 10 (22), NY (32), pitbull, stobble ," Christmas (39)",, 8 (21), CA (37), German Shepherd (2), hobble (22) , Thanksgiving (46),
 8 (15), poodle (3), church (38), basketball ," airport (38)",, 7 (10), pitbull (13), line at store, tennis (42) , strip joint,
 5 (13), elephant (11), banana (11), school (11) ," football (50)",, 10 (23), sheep (12), bus, work (2) , soccer (15),
 21 (5), dog (36), gas/fuel (44), flipper ," B",, 18 (12), groundhog (5), air, mister (45) , F (49),
 3 (3), jail/prison (4), Capt. (11), people (31) ," potty (60)",, 8 (13), church (20), Sgt. (23), car (13) , TV (2),
 Dresses, two (13), die (26), shirts (49) ," breasts",, Bras (34), four (8), breathe (2), beds (24) , stomach,
 Hitting/batting (32), church (16), 5'5″ (25), castle (2) ," oven (48)",, Running (24), school (25), 5'7″ (10), world (13) , cat (43),
 Remote (20), 10min (6), sour cream (37), $ (3) ," hands (51)",, Popcorn/snacks (38), 2min (13), bacon (12), car (47) , flags,
 100 (20), -tery (2), banana (18), mall (14) ," mouse (51)",, 80, liquor (2), urine (8), police dept. (8) , rat (8),
 Neck (41), 7 (14), fire hydrant (35), put makeup on (17) ," hair (38)",, Back (39), 8 (12), trees (23), kiss , bugs,
 40 (3), butt (28), NY (32) ," rope (4)",,, 21 (7), stomach (14), cotton (balls)(23), L.A. (7) , yarn (6),
 Car, 5 (5), hands (14), math (36) ," drink (11)",, Movies (8), 4, jugs (5), science (7) , tape (59),
 Manual, 50 (5), peach (27), wedding (33) ," Jul. (48)",, Registration (32), 30 (11), pumpkin (37), 4th of Jul. (6) , Aug. (43),
 5 (18), remote (7), car (23), gopher (17) ," time (59)",, 4 (9), punches (2), cellphone (4), mole (29) , money (17),
 Shoes (9), 40 (27), plum, roaches (36) ," breasts (6)",, Car (35), 45 (3), ants (6) , belly (44),,
 Car (30), bacon, 13 (21), soap/shampoo (30) ," pie (49)",, Salt (25), 12 (34), washcloths (16) , cake,,
 Bottle/food (42), hr. (18), Santa comes (27), witch (17) ," umbrella (50)",, Rattle (23), 10min, stay up, wizard (43) , galoshes,
 Chest (23), 75, sheets (9), cameras ," retirement (40)",, Shoulders (3), 50 (8), fridge (14), shoes , vacations (6),
 Stove (21), 12 (29), liquid (17), diamonds (2) ," hand (4)",, Lights (16), 18 (4), fruit (3), home (11) , game (6),
 Drink milk (10), full, eight (26), salmon (34) ," hangers (17)",, Sleep (16), of water, 10 (17), squid , mirrors (46),
 Sit (37), car (23), music (13), twice a wk. ," clowns (13)",, Run, jewelry, “Cold Medina” (6), once a month (30) , cake (28),
 Refrigerator (28), three (14), heart (42), green (44) ," winning a competition",, Couch/sofa (30), four (3), dreams (22), red (22) , going to bed,
 Basketball (29), Dr. (34), eat (35), red (43) ," “SUPERMAN” (48)",, Football (25), construction, shuck, green , “BATMAN”,
 In-laws' (30), 7 (20), USC, bird (40) ," queen (33)",, Work (38), 8 (27), Super (39), kangaroo , king,
 Cellphone, towel (21), break (17), 42 ," car (49)",, Kids (23), bowel (6), dump (2), 32 (4) , body (12),
 1 (5), pitcher (3), movies (4), friends (35) ," birthday (50)",, 8 (8), glass/cup (25), DMV (28), spouse/mate (6) , Christmas,
 Eagle (33), every wk. (36), blue (25), check (26) ," juggling (9)",, Falcon (3), once a day (36), black (37), car , Ferris Wheel,
 Dishes (27), 5 (3), China (7), dog ," Bad (10)",, Vacuum (4), 10 (27), Iraq, snake (30) , Good (58),
 2hrs (16), stripes, goggles, mop (5) ," throw up (47)",, 6hrs (12), jeans/pants (27), beakers (12), pop (6) , eat more (5),
 $15 (19), families (24), birthday party (5), stick-shift ," tennis (17)",, $10 (28), homes (25), party bus, race car , golf (42),
 Cooking (11), 40% (6), tyke (12), toilet (32) ," mouth (49)",, Marriage (5), 10% (6), like (25), toothbrushes (3) , purse,
 $2K, Winter (4), store (2) ," silver (32)",,, $1K, Christmas (4), bar/nightclub (35), Jumping (10) , plastic (11),
 2 (7), love (28), watermelon (2), cigar(ette)(14) ," belly (50)",, 7 (9), planes (9), apple (44), candle (46) , hips,
 Video games, 10 (11), balls (39), signature (31) ," snakes",, Watch TV (24- tied w/ sports), 9 (11), racket (42), amt. of $ (28) , cats (53),
 12, homes (15), Disney (23), apple (31) ," run (12)",, Five (9), banks (12), Home (9), orange (14) , scream (47),
 Nose (7), 2hrs (26), sweets (25), long ," dog (54)",, Legs (8), 7hrs, drinking (14), kosher , tiger (2),
 Hugs (13), two (22), copy machine (26), arrow ," car (46)",, Cookies (30), five (10), cubicle, heart (4) , turkey (12),
 Car (47), 8 (27), push-ups (15), herd (6) ," P.B. (40)",, Home (33), 7 (16), lift weights, churd , caramel (48),
 3, knots (36), U (2), home (30) ," rabbit (50)",, 9 (8), Y (9), car (43) , bird (30),,
 Brother (17), ATL, tiger (17), 9PM (38) ," P.B. (2)",, Dad (3), NY (19), lion (28), midnight , bologna,
 $50 (28), trash (3), list (6), I.C. (34) ," funeral (7)",, $30 (5), paper (5), book (15), cookies (6) , work (46),
 Cheeseburger (23), 40 (23), water (26), oven (8) ," teeth (2)",, Pizza (24), 25 (6), air (16), couch (9) , carrot (57),
 80%, bagels (2), hamper/basket (36), hose (43) ," luck (54)",, 9 (15), doughnuts (18), suitcase (30), ladder (44) , midnight,
 Scissors (3), midnight (28), -lickin' good (26), date (40) ," cruise (51)",, Scalpel (25), 1AM (8), kiss (32) , plane,,
 15 (3), KS (10), breast (25), dam (9) ," camera (6)",, 20 (16), WY, shoulder (6), ram (14) , maagnifying glass (54),
 Singing (32), panties (13), toys/dolls (27), face (22) ," 30 (60)",, Steering (5), shoes (23), see favorite athlete, dreams (38) , 20,
 Dance (26), $75 (9), phone call (18), blanket/towel (48) ," scrambled (52)",, Talk (5), $100 (31), put up hand (38), chair , baked,
 2 (9), avocado, presents (25), dough (9) ," doctor (43)",, 7 (15), milk (6), hat (5- Christmas tied w/ presents for #1), Skittles , lawyer (13),
 Two wks. (26), clock, take your seat, bunny (35) ," Budweiser (54)",, Yr. (2), spouse/mate (10), talk (on phone)(26), human (15) , Corona,
 Tight dress, gold, 17 (4), condom (10) ," drink coffee (41)",, Miniskirt (11), home (28), 18 (12), tires (34) , greet coworkers (2),
 Talking (13), work (26), 7yrs, bra (38) ," school (12)",, Cleaning (7), school, 2yrs (28), shoes (2) , church (45),
 Legs (31), 8 (7), glasses (18), scissors (48) ," eyebrows (54)",, Feet/toes, 10 (8), cellphone, knife (34) , chicken,
 “I love you” (31), dress (30), grape (25), bunny (43) ," 6PM (55)",, “I'll see you tomorrow morning”, makeup, apple (9), sunny (32) , 5PM,
 Earring (17), 8 (11), baste it (14), butter (14) ," butts (47)",, Shirt, 7 (14), season it (5), I.C. (22),,
 40 (23), Kleenex, heights (24), tiger (6) ," car (48)",, 50 (20), fire extinguisher (4), flying (4), bear (35) , home,
 14 (5), get married (21), hands (38), potatoes (47) ," nail (54)",, 13 (8), learn to drive, feet, fish (8) , shoe (25),
 Brush teeth (15), $2 (36), deck (28), toast (42) ," tooth (43)",, Shower (20), $3 (11), dining rm. (14), boast , human,
 One (5), mouthpiece (4), toon (8), sandwich (5) ," beach house",, Six (18), food (4), ball (27), cheese (36) , roof (4),
 Tiger (11), applause, airline stewardess, closet (17) ," hr. (3)",, Dog (5), room (only)(21), astronaut (15), basement , 3hrs (54),
 Butt (12), licky, work, bird poop (36) ," fish (49)",, Hips (10), sticky (23), brush teeth (30- tied w/ bathe), bugs (41) , rawhide,
 6 (8), Italy (30), church (38), leader (42) ," mouth (43)",, 8 (24), Germany, home (3), tide , hands (54),
 5 (22), freeze (24), party (22), waist/stomach (38) ," cows/animals (40)",, 4 (11), chain, sleep (19), legs (3) , veggies (13),
 Meatloaf, 60 (25), run (22), car (11) ," wash (54)",, Chocolate (16), 55 (5), sail (18), golf equip. , harp,
 Car (19), poodle (24), 1K, workout (7) ," criminal",, Home (11), Chihuahua (23), 5lbs (8), shower (9) , robber (40),
 $2K (5), pet (39), green (36), home (10) ," dusk (20)",, $20K, jewelry, red (17) , clothes (31),,
 Children (5), 9 (14), fish (20), drill (24) ," wolf (57)",, $1M, 8 (20), onions (3), saw (27) , coyote (27),
 10 (34), dickle (2), vacuuming (46) ," eat (31)",,, 9 (15), tickle (27), washing dishes, exercise (2) , referee (40),
 Flowers (24), 50 (30), pretzels (24), bride (2) ," earrings ",, Jewelry (35), 60 (2), popcorn (18), model (41) , teeth,
 Join in on the fight (29), monkey (28), seven, flashlight (47) ," life (53)",, Hide, bird (25), 17 (2), candle (37) , spouse/mate,
 Remote (42), 7 (30), lion (32), index (48) ," grandkids (46)- ACED",, Money, 8 (16), gorilla, pinky , kids (VB),
 Football (28), nachos, car (26), 8 (10) ," show (18)",, Soccer (4), sandwich (9), home (11), 7 (30) , out (50),
 Children (27), $150 (3), amusement park ride (31), peanut (31) ," storing (4)",, $ (23), $100 (29), swings, crab (20) , snoring (56),
 Under bed (24), three (21), beer (25), Pet ," home (37)",, Closet (48), five (15), water (36), Smoke/Fire , yacht,
 Cook/bake (26), newspaper (28), hair (18), wk. (39) ," school (43)",, Kiss (4), shoes (15), breasts (9), three days (15) , church,
 Arms (28), dog, cookies (15), 10 (10) ," bear (54)",, Hips (34), debt (20), I.C. (23) , 8 (8),,
 Pickles (21), gun (15), figurine, 5 (11) ," trim (18)",, Fries (32), $ (31), four, 10 (48) , file (45),
 Two (27), hole/pit (28), the dark (17), gifts (35) ," beach (47)",, Three (37), relationship, me (4), family (23) , pool,
 Beer (12), work (interview) (28), 7 (16), stripper (7) ," mum (5)",, Himself, courtroom (12), 10 , dumb (9),,
 10 (5), A, rat/mouse (18), car (4) ," be quiet (52)",, 8 (12), Strap, hippo (25), rm. (17) , hush (5),
 French (44), trumpet (28), cat (34), legs/knees (35) ," dad",, British (27), clarinet, rabbit, glutes , ex,
 Puddy (6), 16 (25), Dr. (26), granola/cereal (39) ," kids (42)",, Muddy (36), 14 (14), hemostat/surgical tool (37), banana , parents,
 $5 (38), mac ‘n cheese (6), cowboy hat (38), teeth (39) ," TVs",, $3.25, cereal (38), accent (34), on a person (5) , bedroom (2),
 Ears (13), 6 (6), $ (22), Woods (30) ," power (52)",, Squeaking, 8 (16), food (20), stripes (7) , tower (16),
 Toys (2), 11 (24), weed (20), knife (6) ," NOTHING",, Shoes/clothes (26), 9 (17), $ (11), watch (33) , fishing (9),
 5 (26), grandma (38), pregnant (23), bread (35) ," gavel (52)",, 10 (9), dong (29), ate something BAD, produce , robe,
 Three (25), beaver, B (46), Kool-Aid (20) ," CA (50)",, Eight, knife, C (10), fruit juice (13) , HI (3),
 Drinking (14), 10 (21), robin (23), bus (18) ," hands (5)",, Homework (10), 8 (18), cardinal (7), bike (31) , legs (43),
 Dr./dentist (47), 40 (23), riddle (30), straw (45) ," rats/mice (48)",, Cop, 50 (16), little, black , mold,
 6:30, shot (8), Italy (19), TV (19) ," cereal (41)",, 10AM (13), knee, France (24), couch , chips (3),
 5 (26), accounting (4), have a drink (25), popsicles (6) ," dog (42)",, 4 (5), construction (5), smile, pudding (4) , lion (12),
 Football (40), 10 (38), rabbit (9), unemployment office (12) ," hair cream (8)",, Basketball (31), 5 (4), hat (10), bar (32) , brushes (10),
 Wash out mouth (38), 5min (17), German (3), temperature (31) ," pets (47)",, Spanking (7), 10min (29), Chinese (38), blood pressure , children ,
 Bones (34), 10 (28), L.A., plane (35) ," chicken (51) ",, Dog (13), 15 (3), FL (29), train (42) , fish,
 Five (20), UNO (3), grape (24), car (32) ," mail/male (46)",, Six (3- three tied for #1 w/ five), poker (15), peach, bread (3) , pail/pale (17),
 100% (16), hummingbird (3), socks (19), bar/club (33) ," States (56)",, 90% (8), parrot/parakeet (29), shoes (24), wedding , Nations (10),
 Pizza (15), fender (22), carts (23), $ (38) ," debt (7)",, Donuts (5), splendor (3), grass (9), hair (14) , here (60),
 Get out and holler (18), 9 (26), road (13), elephant (2) ," spinach (57)",, Cut 'em off (7), 10 (23), world (28), goat (5) , broccoli (8),
 Seven, hands (36), roast marshmallows (34), grab tissue (36) ," motion (52)",, Three (17), arms (5), drink beer , hug someone,,
 Bone (37), bikini (30), 9 (24), life (26) ," karaoke (49)",, Makeup (34), 8, auto , “American Idol”,,
 Football (36), gnat (13), 8 (14), shoes (48) ," French (58)",, Basketball (27), ant (7), 5, jacket , Italian,
 Alarm (11), 16 (3), fingers (5), dominoes ," spouse/mate (49)",, Spouse/mate, 13 (21), dumpling, shoes (3) , friends (15),
 France (2), five (26), driving, wet pants (7) ," golf (48)",, Mexico (12), six (22), bathing, cry (37) , ping-pong (11),
 Fruit (29), arms (2), four (20), mosquito (42) ," chase mice (10)",, Milk (17), eyes (9), five (20), fly (16) , purr (12),
 Restaurant (3), half-yr. (22), tractor (30), reach (18) ," back (18)",, Family reunion (8), yr. (25), horse (3), teach (34) , knees,
 Jewelry/ring (47), three days (17), watermelon (15), coffee/breakfast (32) ," casket (37)",, Home, four days (2), cantaloupe (3), flowers , tasket,
 10 (19), parts (17), floor, apple (38) ," wedding dress (44)",, 9 (6), room (2), lip, watermelon (4) , rings/jewelry (46),
 Ketchup (11), workout (29), 10 (41), TV (4) ," clothing (47)",, Silverware (16), eat less/lose weight/diet (31), 9 (6), interview (3) , $ (50),
 Three (20), “Beetlejuice” (3), cake (7), military (33) ," Christmas (51)",, Five (14), music (38), spaghetti/pasta, guard (7) , Thanksgiving (43),
 Bottom (11), 7 (18), inside, coworker (7) ," Mayflower (3)",, Breasts (11), 8 (22), under a roof, mom (11) , turkey (14),
 35 (8), puberty, hush, moonlight (19) ," boots (5)",, 37, food (17), “Are you serious?”, NUDE , hat (12),
 $ (49), 5 (2), dog (26), hats ," outfield",, Career, 9 (23), woman (2), jacket (2) , catcher (39),
 83°, balloons (30), pencils (34), watermelon (23) ," flu (30)",, 80° (32), pad (8), I.C. (44) , measles,,
 Three days (25), shop (25), driver (8), speak/scream (40) ," bedroom (30)",, Two days (9), dress (2), eat (27) , toys (3),,
 Theater (3), 2lbs (9), roach (7), $ (37) ," dust (45)",, Church (18), 3lbs (23), spider (3) , NOTHING (15),,
 Thong (29), running (20), gizzard (41), purple (43) ," crystal ball (56)",, Lingerie, swimming (22), wizard, black , cards  ,
 Four (8), batch (11), coffee (32), horse (37) ," appointment (8)",, 10 (13), snatch (10), pie (6), motorcycle (13) , work (44),
 Wk. (27), concrete (35), brush teeth (21), red (41) ," spouse/mate (53)",, 2wks (11), bricks (36), gum, yellow , dad,
 Call bell, running outside (18), 2PM (4), Lumpy ," lotion (37)",, Phone (41), (nervous/stress for an) interview (38), 1PM, Sleepy (24) , gloves/mittens (51),
 10 (11), tray (21), -do-list (21), traffic (35) ," sleep (43)",, 5 (11), drink, I'm home (2), doorway (8) , kiss (7),
 Eyepatch (17), seven (18), kick (2), shopping cart (33) ," butterfly",, Wooden leg (3), six (10), “…it like it's hot” (10), bike (3) , dog (60),
 10% (6), berries (38), messy (46), sauna (41) ," pink (49)",, 50% (22), tree bark, noisy, bedroom , brown ,
 Work (22), 8 (21), teacher (4), knife (45) ," dirty laundry (53)",, Bills/$ (40), 7 (12), policeman (6), scissors , magazines,
 Car (17), 9 (4), lawnmower (11), stump (8) ," eye cover",, Shoes/clothes (29), 10 (3), scissors (15), bump (9) , hat,
 8 (23), brain (20), cuff (7), call AAA/tow truck (38) ," watermelon (46)",, 10 (6), blood, huff (8), break windows (11) , apple,
 Ears (7), $20 (8), shower/bathe (14), police (47) ," home (51)",, Shoulders (5), $10 (29), drive, parents (20) , car (31),
 Day (34), lion tamer (30), cans (22), booze (43- tied w/ music) ," tacos (47)",, Two days (33), trapeze, nylon, food , burritos,
 Best friend (23), 21 (21), teeth (11), blueberry (5) ," arms (14)",, Mom (6), 18 (6), tattoos (9), cherry (33) , scarf (18),
 Crib (25), 15, titty (5), witch's hat (5) ," watermelon (3)",, Nursing bras, 13, pity (23), needle (16) , orange (43),
 Half-yr. (35), sick (23), bacon (33), butt (38) ," CA (30)",, Yr. (32), weather (34), meat, ears , FL ,
 Restaurant (22), hands (25), tiger (28), 12hrs (6) ," food (47)",, Movies (3), legs (5), horse, two days (26) , hair (4),
 Table (6), spouse/mate (29), fork (19), 10 (17) ," cats (45)",, Stove, boss (19), 8 (32) , cars (5),,
 7 (15), C (34), booty (24), vanilla (35) ," growl/snarl (50)",, 8 (19), D (5), belly (41), chocolate , bark,
 Eight (8), pool, udder (26), window washer (39) ," jewelry (55)",, Six (13), fencing, brain, airplane pilot (15) , car (4),
 Mom (6), 10 (25), Sun. (35), amusement park rides (49) ," Donald (51)",, Boss (32), 8 (20), Sat., boat , Daffy,
 $1M (38), cucumbers, saddy, hippo ," fridge",, $1B (8), Brussels sprouts (17), fatty (7), lion , home (46),
 Glasses (9), water, day (30), temperature (13) ," casino (51)",, Credit card (17), dish (29), wk., elevator (34) , cash (13),
 18 (34), paws (9), Good (18), drink (44) ," paddles (61)",, 17 (24), fur (28), Something, eat , table,
 Day (5), tuba, fries (30), knees/legs (45) ," jolly",, Wk. (21), sax, chicken (wings)(43), elbows (2) , chuckle (44),
 Breasts (12), suck (12), leggings, 5AM (9) ," breathe (47)",, Bottom (21), truck (11), bra (19), 4AM (22) , exercise,
 4 (2), tail (19), balls (2), car (54) ," beach (50)",, 10 (35), pin (33), navel (17), apartment , pool ,
 Spouse/mate (15), 5 (10), pork (32), fingers/hands (36) ," elephant (35)",, Mom-in-law (7), 10 (37), spork (3), nose (7) , lion,
 8 (11), Billy (12), copier (8), plane (46) ," pink (29)",, 5 (13), willy (32), computer (21), bird (42) , blue,
 8 (18), trampoline (35), AZ (36), Christmas (42) ," scaffolding",, 6 (9), balls (31), NV (21- AZ , CA tied for #1), Hanukkah , rollers (4)
